source_id,channel,title,upload_date,duration,url,note
YT-01,대왕개미 홍인기,4 Day Trading Stop-Loss Techniques You Learn Once and Use for a Lifetime,NA,12:48,https://www.youtube.com/watch?v=_pITKdtAd8E,
YT-01,대왕개미 홍인기,There are specific stocks that will hit the jackpot [Giant Ant Hong In-ki's Stocks],NA,8:03,https://www.youtube.com/watch?v=j6A7Kf9WYXs,
YT-01,대왕개미 홍인기,상위1%는 주식 이렇게 매매합니다(+30만 치킨 이벤트),NA,18:41,https://www.youtube.com/watch?v=vEkhi01pxvo,
YT-01,대왕개미 홍인기,Stock day trading techniques for leading stocks that turn volatility into opportunity,NA,9:53,https://www.youtube.com/watch?v=cI9XTnBS5JQ,
YT-01,대왕개미 홍인기,우상향 계좌의 비결 딱 '3가지'만 지키세요 [개미원정대],NA,27:48,https://www.youtube.com/watch?v=Z1k_H6xpejs,
YT-01,대왕개미 홍인기,주식으로 월천버는 자영업자 수익비결 [개미원정대],NA,26:24,https://www.youtube.com/watch?v=sLquQu2DKo4,
YT-01,대왕개미 홍인기,"5 Years of Day Trading, Monthly Losses: Self-Employed Couple Traders [Ant Expedition]",NA,46:50,https://www.youtube.com/watch?v=m8jFDg6-LXI,
YT-01,대왕개미 홍인기,"The stock market crash focused solely on this stock. [Hong In-gi, the giant ant]",NA,13:05,https://www.youtube.com/watch?v=B6OOEglWIcQ,
YT-01,대왕개미 홍인기,"고점돌파 코스피, 중동전쟁 한국주식시장 영향은? [대왕개미 홍인기]",NA,8:23,https://www.youtube.com/watch?v=pHoHR9rvo78,
YT-01,대왕개미 홍인기,평범한 주부를 돈벌게 해준 주식매매 2가지 원칙 [개미원정대],NA,35:15,https://www.youtube.com/watch?v=HDBwFo_oVgI,
YT-01,대왕개미 홍인기,주식으로 월억 달성 주부 트레이더 [개미원정대],NA,16:33,https://www.youtube.com/watch?v=l-xP8kN7zxQ,
YT-01,대왕개미 홍인기,국장 단타의 시대가 왔다 [대왕개미 홍인기],NA,16:57,https://www.youtube.com/watch?v=O1jQAkBMgS0,
YT-02,코인독학,"To prove that trading isn't luck, I've been doing nothing but day trading for 3 months.. (LOL...?)",NA,6:51,https://www.youtube.com/watch?v=IUnl8Ud-oZo,
YT-02,코인독학,초단기간 → 13억 버는 과정 라이브 인증 (단타 매매법),NA,18:25,https://www.youtube.com/watch?v=6e-jpLsvk5k,
YT-02,코인독학,2026년 횡보장 → 1억을 만든 매매법 4가지,NA,8:13,https://www.youtube.com/watch?v=3FD0SwRS-SQ,
YT-02,코인독학,"6 million won → 100 million won, traded for exactly three months (Trend Line Trading Method)",NA,7:51,https://www.youtube.com/watch?v=BWJ_DliNQCQ,
YT-02,코인독학,30-Minute Chart Day Trading Method That Made 100 Million Won in Two Months (MACD + Price Action),NA,8:34,https://www.youtube.com/watch?v=SKRg3D82Fjc,
YT-02,코인독학,"If You Properly Understand RSI, Your Trading Will Change Dramatically (Practical Trading Method)",NA,7:00,https://www.youtube.com/watch?v=CtHZ1jxYanY,
YT-02,코인독학,"두달간, 무일푼 → 2억 만든 스윙 매매법",NA,14:15,https://www.youtube.com/watch?v=zFwPFO5ETWU,
YT-02,코인독학,5-Minute Chart Day Trading Method That Turned 3 Million Won into 300 Million Won (Video Profit Ve...,NA,12:39,https://www.youtube.com/watch?v=FJoCYR_WCaw,
YT-02,코인독학,매매할때 이것만 팠더니 올해만 3억 벌었어요 (매물대 매매법),NA,7:25,https://www.youtube.com/watch?v=3hStNgEnHXc,
YT-02,코인독학,"29살, - 손실계좌를 3억으로 바꾼 단타 매매법 (볼린저밴드+MFI)",NA,14:13,https://www.youtube.com/watch?v=WIuneu0pT8Q,
YT-03,차트슈타인,Day Trading of Madness (Chart Analysis Lecture by a Wall Street Legend Trader),NA,15:43,https://www.youtube.com/watch?v=Wly-gUZy_i0,
YT-03,차트슈타인,Try following the super simple trading method of the person who made 170 billion won in profit wi...,NA,20:46,https://www.youtube.com/watch?v=YORub0EQo1o,
